headword, pos, vietnamese
empirical, adjective, theo kinh nghiệm  
emulate, verb, cạnh tranh  
enamor, verb, làm say mê  
enervate, verb, làm yếu đi  
engender, verb, sinh ra  
enigmatic, adjective, bí ẩn  
enmity, noun, sự thù hận  
ennui, noun, sự chán nản  
ephemeral, adjective, ngắn ngủi  
epicure, noun, người sành ăn  
epitome, noun, hình mẫu lý tưởng  
equivocal, adjective, mập mờ  
erudite, adjective, uyên bác  
eschew, verb, tránh né  
esoteric, adjective, bí truyền  
espouse, verb, ủng hộ  
ethereal, adjective, thanh tao  
euphemism, noun, uyển ngữ  
evanescent, adjective, phù du  
exacerbate, verb, làm trầm trọng  
exalt, verb, tán dương  
exasperate, verb, làm bực tức  
excoriate, verb, chỉ trích mạnh mẽ  
exculpate, verb, minh oan  
exhaustive, adjective, toàn diện  
exonerate, verb, giải tội  
exorbitant, adjective, quá đáng  
expeditious, adjective, nhanh chóng  
extant, adjective, hiện có  
extol, verb, ca ngợi  
extraneous, adjective, không liên quan  
extrapolate, verb, suy luận  
extricate, verb, giải thoát  
exuberant, adjective, đầy năng lượng  
exult, verb, hân hoan  
facetious, adjective, khôi hài  
facile, adjective, dễ dàng  
fallacious, adjective, sai lầm  
fastidious, adjective, khó tính  
fatuous, adjective, ngu ngốc  
feasible, adjective, khả thi  
feign, verb, giả vờ  
felicitous, adjective, thích hợp  
fervor, noun, sự nhiệt tình  
fetid, adjective, hôi thối  
flagrant, adjective, rõ ràng  
flippant, adjective, thiếu nghiêm túc  
flout, verb, coi thường  
foible, noun, nhược điểm  
foment, verb, kích động  
forbearance, noun, sự nhẫn nhịn  
forego, verb, từ bỏ  
forestall, verb, ngăn chặn  
formidable, adjective, ghê gớm  
fortuitous, adjective, tình cờ  
fractious, adjective, cứng đầu  
frivolous, adjective, phù phiếm  
frugal, adjective, tiết kiệm  
fulminate, verb, phê phán  
furtive, adjective, lén lút  
futile, adjective, vô ích  
garrulous, adjective, nói nhiều  
genial, adjective, thân thiện  
germane, adjective, thích hợp  
grandiloquent, adjective, khoa trương  
gratuitous, adjective, không cần thiết  
gregarious, adjective, hòa đồng  
guile, noun, sự lừa lọc  
hackneyed, adjective, sáo rỗng  
halcyon, adjective, yên bình  
hapless, adjective, không may  
harangue, noun, bài diễn văn dài  
hedonist, noun, người theo chủ nghĩa khoái lạc  
heinous, adjective, tàn ác  
heresy, noun, dị giáo  
hiatus, noun, khoảng trống  
histrionic, adjective, cường điệu  
hoary, adjective, cổ xưa  
homogeneous, adjective, đồng nhất  
hubris, noun, ngạo mạn  
idiosyncrasy, noun, đặc điểm riêng  
ignominious, adjective, đáng xấu hổ  
illicit, adjective, trái phép  
immutable, adjective, không thay đổi  
impassive, adjective, bình thản  
impeccable, adjective, hoàn hảo  
impecunious, adjective, nghèo túng  
impede, verb, cản trở  
imperious, adjective, hống hách  
impetuous, adjective, bốc đồng  
impinge, verb, tác động  
implacable, adjective, không thể nguôi  
implausible, adjective, không thể tin được
implicit, adjective, ngầm hiểu  
implore, verb, cầu khẩn  
impugn, verb, công kích  
inane, adjective, ngớ ngẩn  
inarticulate, adjective, không rõ ràng  
incipient, adjective, mới bắt đầu  
incisive, adjective, sắc bén  
incongruous, adjective, không hợp lý  
incontrovertible, adjective, không thể chối cãi  
incorrigible, adjective, không thể sửa chữa  
incredulous, adjective, hoài nghi  
increment, noun, sự tăng lên  
incumbent, adjective, đương nhiệm  
indefatigable, adjective, không mệt mỏi  
indelible, adjective, không thể xóa được  
indict, verb, buộc tội  
indifferent, adjective, thờ ơ  
indigenous, adjective, bản địa  
indigent, adjective, nghèo khó  
indignant, adjective, phẫn nộ  
indolent, adjective, lười biếng  
indomitable, adjective, không thể khuất phục  
ineffable, adjective, không tả xiết  
inept, adjective, vụng về  
inexorable, adjective, không thể dừng lại  
infallible, adjective, không thể sai lầm  
infamous, adjective, khét tiếng  
infer, verb, suy luận  
infiltrate, verb, xâm nhập  
infinitesimal, adjective, rất nhỏ  
infraction, noun, sự vi phạm  
ingenious, adjective, khéo léo  
ingenuous, adjective, ngây thơ  
inherent, adjective, vốn có  
inimical, adjective, có hại  
iniquity, noun, sự bất công  
innocuous, adjective, vô hại  
innovate, verb, đổi mới  
insatiable, adjective, không thể thỏa mãn  
inscrutable, adjective, bí hiểm  
insidious, adjective, xảo quyệt  
insinuate, verb, ám chỉ  
insipid, adjective, nhạt nhẽo  
insolent, adjective, hỗn láo  
insular, adjective, cô lập  
insuperable, adjective, không thể vượt qua  
intangible, adjective, vô hình  
integral, adjective, cần thiết  
interloper, noun, người xâm nhập  
interminable, adjective, vô tận  
intractable, adjective, khó kiểm soát  
intrepid, adjective, gan dạ  
inundate, verb, tràn ngập  
inure, verb, làm quen  
invective, noun, lời lăng mạ  
inveigle, verb, dụ dỗ  
inveterate, adjective, lâu năm  
invidious, adjective, gây ác cảm  
irascible, adjective, nóng nảy  
irate, adjective, giận dữ  
iridescent, adjective, óng ánh  
irreverent, adjective, thiếu tôn trọng  
irrevocable, adjective, không thể thay đổi  
itinerant, adjective, lưu động  
jaded, adjective, mệt mỏi  
jeopardize, verb, gây nguy hiểm  
jocular, adjective, vui vẻ  
judicious, adjective, khôn ngoan  
juncture, noun, thời điểm quan trọng  
juxtapose, verb, đặt cạnh nhau  
keen, adjective, sắc bén  
kinetic, adjective, thuộc về động lực  
kudos, noun, sự khen ngợi  
labyrinth, noun, mê cung  
laconic, adjective, ngắn gọn  
lament, verb, than thở  
languid, adjective, yếu ớt  
latent, adjective, tiềm tàng  
laud, verb, ca ngợi  
lavish, adjective, xa hoa  
lethargic, adjective, uể oải  
levity, noun, sự thiếu nghiêm túc  
libertine, noun, người phóng túng  
licentious, adjective, phóng đãng  
limpid, adjective, trong trẻo  
listless, adjective, thờ ơ  
lithe, adjective, uyển chuyển  
loquacious, adjective, nói nhiều  
lucid, adjective, rõ ràng  
lugubrious, adjective, u sầu  
luminous, adjective, sáng chói  
magnanimous, adjective, hào hiệp  
malevolent, adjective, ác tâm  
malign, verb, nói xấu  
malleable, adjective, dễ uốn  
mar, verb, làm hỏng  
martinet, noun, người nghiêm khắc  
maudlin, adjective, ủy mị  
maverick, noun, người tiên phong  
mendacious, adjective, dối trá  
mercurial, adjective, thay đổi thất thường  
meretricious, adjective, hào nhoáng  
meticulous, adjective, tỉ mỉ  
mitigate, verb, làm dịu bớt  
mollify, verb, xoa dịu  
moribund, adjective, suy tàn  
morose, adjective, buồn rầu  
multifarious, adjective, đa dạng  
mundane, adjective, trần tục  
munificent, adjective, hào phóng  
mutable, adjective, dễ thay đổi  
myriad, noun, vô số  
nascent, adjective, mới sinh  
nebulous, adjective, mơ hồ  
nefarious, adjective, độc ác  
neophyte, noun, người mới  
nettle, verb, chọc tức  
noisome, adjective, khó chịu  
nonchalant, adjective, thờ ơ  
nondescript, adjective, không có gì đặc biệt  
notorious, adjective, khét tiếng  
novice, noun, người mới  
noxious, adjective, độc hại  
obdurate, adjective, cứng đầu  
obfuscate, verb, làm rối rắm  
objurgate, verb, quở trách  
oblique, adjective, quanh co  
oblivion, noun, sự lãng quên  
obloquy, noun, sự chỉ trích công khai  
obscure, adjective, mờ mịt  
obsequious, adjective, khúm núm  
obstinate, adjective, bướng bỉnh  
obtrusive, adjective, lấn lướt  
obtuse, adjective, chậm hiểu  
obviate, verb, phòng ngừa  
occlude, verb, làm nghẽn  
officious, adjective, can thiệp  
ominous, adjective, điềm xấu  
onerous, adjective, nặng nề  
opaque, adjective, mờ đục  
opulent, adjective, giàu có  
oration, noun, bài diễn văn  
ornate, adjective, trang trí công phu  
ossify, verb, hóa thạch  
ostentatious, adjective, phô trương  
ostracize, verb, tẩy chay  
overt, adjective, công khai  
pacify, verb, xoa dịu  
palpable, adjective, rõ ràng  
panacea, noun, thuốc chữa bách bệnh  
paradigm, noun, mẫu hình  
paradox, noun, nghịch lý  
paragon, noun, hình mẫu  
paramount, adjective, tối quan trọng  
pariah, noun, người bị ruồng bỏ  
parsimonious, adjective, keo kiệt  
partisan, noun, người ủng hộ  
patent, adjective, rõ ràng  
paucity, noun, sự thiếu hụt  
pedantic, adjective, cầu kỳ  
penchant, noun, sự yêu thích  
penitent, adjective, ăn năn  
pensive, adjective, trầm ngâm  
penury, noun, sự túng thiếu  
perceptive, adjective, nhận thức tốt  
perfidious, adjective, phản bội  
perfunctory, adjective, qua loa  
peripatetic, adjective, đi rong  
pernicious, adjective, nguy hại  
perplex, verb, làm bối rối  
perspicacious, adjective, sáng suốt  
pert, adjective, xấc xược  
pertinacious, adjective, cố chấp  
perturb, verb, làm lo lắng  
pervade, verb, lan tỏa  
petulant, adjective, bực bội  
phlegmatic, adjective, thản nhiên  
pious, adjective, ngoan đạo  
placate, verb, xoa dịu  
placid, adjective, yên tĩnh  
plaintive, adjective, buồn bã  
plethora, noun, sự phong phú  
pliable, adjective, dễ uốn  
poignant, adjective, sâu sắc  
polemic, noun, cuộc tranh luận  
pompous, adjective, khoa trương  
ponderous, adjective, nặng nề  
portend, verb, báo trước  
potent, adjective, mạnh mẽ  
pragmatic, adjective, thực dụng  
precarious, adjective, bấp bênh  
precipitate, verb, làm xảy ra  
precipitous, adjective, dốc đứng  
preclude, verb, ngăn ngừa  
precocious, adjective, phát triển sớm  
precursor, noun, tiền thân  
predilection, noun, sự thiên vị  
preeminent, adjective, ưu việt  
premonition, noun, linh cảm  
prescient, adjective, tiên tri
prescient, adjective, tiên tri  
pretext, noun, cái cớ  
prevalent, adjective, phổ biến  
prevaricate, verb, nói dối  
pristine, adjective, nguyên sơ  
probity, noun, sự liêm khiết  
proclivity, noun, xu hướng  
prodigal, adjective, hoang phí  
prodigious, adjective, phi thường  
profligate, adjective, hoang phí  
profound, adjective, sâu sắc  
profuse, adjective, dồi dào  
progeny, noun, con cháu  
proliferate, verb, sinh sôi  
prolific, adjective, phong phú  
prosaic, adjective, tầm thường  
proscribe, verb, cấm đoán  
proselytize, verb, truyền đạo  
protagonist, noun, nhân vật chính  
protract, verb, kéo dài  
provident, adjective, lo xa  
provincial, adjective, thuộc tỉnh lẻ  
provisional, adjective, tạm thời  
proximity, noun, sự gần gũi  
prudent, adjective, cẩn trọng  
puerile, adjective, trẻ con  
pugnacious, adjective, hung hăng  
punctilious, adjective, kỹ tính  
pundit, noun, nhà phê bình  
pungent, adjective, cay nồng  
pusillanimous, adjective, nhút nhát  
quagmire, noun, vũng lầy  
quail, verb, run sợ  
qualm, noun, sự lo ngại  
quandary, noun, tình thế khó xử  
quell, verb, dập tắt  
querulous, adjective, hay càu nhàu  
quiescent, adjective, yên lặng  
quixotic, adjective, không thực tế  
quotidian, adjective, hàng ngày  
raconteur, noun, người kể chuyện  
rancor, noun, sự thù hận  
rapacious, adjective, tham lam  
raucous, adjective, ồn ào  
raze, verb, san bằng  
recalcitrant, adjective, ngoan cố  
recant, verb, rút lui  
recapitulate, verb, tóm tắt  
recondite, adjective, khó hiểu  
recrimination, noun, sự tố cáo lẫn nhau  
rectify, verb, sửa chữa  
redoubtable, adjective, đáng gờm  
redundant, adjective, thừa thãi  
relegate, verb, giáng chức  
relinquish, verb, từ bỏ  
remonstrate, verb, phản đối  
renege, verb, không giữ lời  
renounce, verb, từ bỏ  
repent, verb, ăn năn  
replete, adjective, đầy đủ  
reprehensible, adjective, đáng trách  
reproach, verb, chỉ trích  
reprobate, noun, người đồi bại  
repudiate, verb, bác bỏ  
rescind, verb, hủy bỏ  
resilient, adjective, kiên cường  
resolute, adjective, kiên định  
respite, noun, sự nghỉ ngơi  
resplendent, adjective, rực rỡ  
restitution, noun, sự bồi thường  
resurgent, adjective, hồi sinh  
reticent, adjective, kín đáo  
retribution, noun, sự trừng phạt  
retrograde, adjective, thụt lùi  
reverent, adjective, tôn kính  
rhetoric, noun, hùng biện  
ribald, adjective, tục tĩu  
rife, adjective, đầy rẫy  
rift, noun, rạn nứt  
rigorous, adjective, nghiêm ngặt  
risible, adjective, nực cười  
robust, adjective, mạnh mẽ  
rudimentary, adjective, cơ bản  
ruminate, verb, suy nghĩ sâu sắc  
rustic, adjective, mộc mạc  
saccharine, adjective, ngọt ngào giả tạo  
sacrilegious, adjective, báng bổ  
sacrosanct, adjective, thiêng liêng  
sagacious, adjective, thông minh  
salubrious, adjective, lành mạnh  
salutary, adjective, có lợi  
sanctimonious, adjective, đạo đức giả  
sanguine, adjective, lạc quan  
sardonic, adjective, mỉa mai  
satiate, verb, thỏa mãn  
satirical, adjective, châm biếm  
saturate, verb, bão hòa  
savant, noun, nhà bác học  
scathing, adjective, gay gắt  
scintillating, adjective, sáng chói  
scrupulous, adjective, cẩn thận  
scrutinize, verb, xem xét kỹ lưỡng  
scurrilous, adjective, tục tĩu  
sedentary, adjective, ngồi nhiều  
sedition, noun, xúi giục nổi loạn  
sedulous, adjective, siêng năng  
sequester, verb, cô lập  
serendipity, noun, may mắn tình cờ  
servile, adjective, hèn hạ  
shrewd, adjective, khôn ngoan  
simulate, verb, mô phỏng  
sinuous, adjective, ngoằn ngoèo  
skeptical, adjective, hoài nghi  
slander, verb, vu khống  
solemn, adjective, trang nghiêm  
solicitous, adjective, lo lắng  
solipsistic, adjective, ích kỷ  
somber, adjective, u ám  
sonorous, adjective, vang vọng  
soporific, adjective, gây buồn ngủ  
sordid, adjective, bẩn thỉu  
spartan, adjective, khắc khổ  
spate, noun, sự dồn dập  
specious, adjective, hợp lý nhưng sai  
sporadic, adjective, lác đác  
spurious, adjective, giả  
squalid, adjective, dơ bẩn  
squander, verb, lãng phí  
stagnant, adjective, trì trệ  
staid, adjective, điềm tĩnh  
stalwart, adjective, kiên cường  
stanch, verb, cầm máu  
stark, adjective, khắc nghiệt  
static, adjective, tĩnh  
steadfast, adjective, kiên định  
stentorian, adjective, vang dội  
stigmatize, verb, bêu xấu  
stipulate, verb, quy định  
stoic, adjective, chịu đựng  
stolid, adjective, thản nhiên  
stratagem, noun, mưu kế  
strident, adjective, inh ỏi  
stringent, adjective, nghiêm ngặt  
stupefy, verb, làm choáng váng  
stymie, verb, cản trở  
subjugate, verb, chinh phục  
sublime, adjective, hùng vĩ  
subliminal, adjective, tiềm thức  
submissive, adjective, phục tùng  
subservient, adjective, phục tùng  
subterfuge, noun, sự lẩn tránh  
subtle, adjective, tinh tế  
subvert, verb, lật đổ  
succinct, adjective, ngắn gọn  
succumb, verb, đầu hàng  
sullen, adjective, u sầu  
sumptuous, adjective, xa hoa  
supercilious, adjective, kiêu căng  
superficial, adjective, hời hợt  
superfluous, adjective, thừa thãi  
surfeit, noun, sự thừa  
surly, adjective, cáu kỉnh  
surmise, verb, phỏng đoán  
surreptitious, adjective, bí mật  
sycophant, noun, kẻ nịnh bợ  
tacit, adjective, ngầm hiểu  
taciturn, adjective, ít nói  
tangible, adjective, hữu hình  
tantamount, adjective, tương đương  
tarnish, verb, làm ô uế  
taut, adjective, căng thẳng  
tawdry, adjective, lòe loẹt  
tedious, adjective, nhàm chán  
temerity, noun, sự táo bạo  
temper, verb, làm dịu  
tenacious, adjective,  kiên trì  
tendentious, adjective, có xu hướng  
tenuous, adjective, mỏng manh  
tepid, adjective, âm ấm  
terse, adjective, ngắn gọn  
tirade, noun, bài phát biểu dài  
torpid, adjective, uể oải  
tortuous, adjective, ngoằn ngoèo  
tractable, adjective, dễ bảo  
transgress, verb, vi phạm  
transient, adjective, ngắn ngủi  
translucent, adjective, trong suốt  
transmute, verb, biến đổi  
treacherous, adjective, nguy hiểm  
trenchant, adjective, sắc bén  
trepidation, noun, sự lo lắng  
truculent, adjective, hung hăng  
truncate, verb, cắt ngắn  
tumult, noun, sự náo loạn  
turgid, adjective, phồng lên  
turpitude, noun, sự đồi bại  
ubiquitous, adjective, có mặt khắp nơi  
umbrage, noun, sự phật lòng  
unabashed, adjective, không nao núng  
unassuming, adjective, khiêm tốn  
unconscionable, adjective, vô lương tâm  
unequivocal, adjective, rõ ràng  
unfathomable, adjective, khó hiểu  
ungainly, adjective, vụng về  
unilateral, adjective, đơn phương  
unkempt, adjective, bù xù  
unmitigated, adjective, không giảm nhẹ  
unobtrusive, adjective, khiêm tốn  
unorthodox, adjective, không chính thống  
unremitting, adjective, không ngừng  
untenable, adjective, không thể chống đỡ  
unwitting, adjective, vô tình  
urbane, adjective, lịch sự  
usurp, verb, chiếm đoạt  
utilitarian, adjective, thực dụng  
utopia, noun, không tưởng  
vacillate, verb, dao động  
vacuous, adjective, trống rỗng  
vagrant, noun, kẻ lang thang  
vain, adjective, vô ích  
vainglorious, adjective, tự phụ  
valor, noun, lòng dũng cảm  
vanguard, noun, tiên phong  
vapid, adjective, nhạt nhẽo  
variegated, adjective, nhiều màu  
vehement, adjective, mãnh liệt  
venal, adjective, dễ mua chuộc  
vendetta, noun, mối thù  
venerate, verb, tôn kính  
veracity, noun, sự chân thực  
verbose, adjective, dài dòng  
verdant, adjective, xanh tươi  
veritable, adjective, thực sự  
vestige, noun, dấu vết  
vex, verb, làm bực mình  
viable, adjective, khả thi  
vicarious, adjective, thay thế  
vicissitude, noun, sự thăng trầm  
vigilant, adjective, cảnh giác  
vilify, verb, nói xấu  
vindicate, verb, minh oan  
vindictive, adjective, hận thù  
virtuoso, noun, nghệ sĩ tài ba  
virulent, adjective, độc hại  
visceral, adjective, thuộc về nội tạng  
vitiate, verb, làm hỏng  
vitriolic, adjective, cay độc  
vituperate, verb, chửi rủa  
vivacious, adjective, hoạt bát  
vociferous, adjective, om sòm  
volatile, adjective, không ổn định  
volition, noun, ý chí  
voracious, adjective, háo hức  
vouchsafe, verb, bảo đảm  
vulnerable, adjective, dễ tổn thương  
waffle, verb, nói vòng vo  
wane, verb, suy yếu  
wary, adjective, cảnh giác  
wax, verb, tăng lên  
whimsical, adjective, kỳ lạ  
wily, adjective, láu cá  
winsome, adjective, quyến rũ  
wistful, adjective, bâng khuâng  
wizened, adjective, nhăn nheo  
wrath, noun, cơn thịnh nộ  
wry, adjective, mỉa mai  
xenophobia, noun, sự bài ngoại  
yen, noun, sự khao khát  
zealous, adjective, nhiệt thành  
zenith, noun, đỉnh cao  
zany, adjective, kỳ quặc  
zest, noun, sự nhiệt huyết  
zigzag, verb, đi ngoằn ngoèo  
zoom, verb, phóng to  
abridge, verb, rút ngắn  
abrogate, verb, bãi bỏ  
abscond, verb, lẩn trốn  
abstruse, adjective, khó hiểu  
accolade, noun, lời khen ngợi  
accrue, verb, tích lũy  
acerbic, adjective, chua cay  
acquiesce, verb, đồng ý ngầm  
acrid, adjective, cay đắng  
acrimony, noun, sự gay gắt  
adage, noun, ngạn ngữ  
addle, verb, làm rối  
adept, adjective, tinh thông  
adjudicate, verb, phân xử  
adjure, verb, khẩn nài  
adroit, adjective, khéo léo  
adulation, noun, sự tán dương quá mức  
adulterate, verb, pha trộn  
adumbrate, verb, phác họa  
adventitious, adjective, ngẫu nhiên  
advocate, verb, ủng hộ  
aesthetic, adjective, thẩm mỹ  
affable, adjective, dễ gần  
affectation, noun, giả tạo  
affinity, noun, sự đồng cảm  
affluence, noun, sự giàu có

