headword, pos, vietnamese
numinous, adjective, linh thiêng  
nurture, verb, nuôi dưỡng  
nymph, noun, nữ thần nhỏ  
narrative, noun, câu chuyện  
nebulous, adjective, mơ hồ  
nourish, verb, nuôi dưỡng  
obdurate, adjective, cứng đầu  
obfuscate, verb, làm rối rắm  
oblivious, adjective, lãng quên  
obnoxious, adjective, khó chịu  
obscure, adjective, mơ hồ  
obsequious, adjective, nịnh nọt  
obsolete, adjective, lỗi thời  
obstinate, adjective, bướng bỉnh  
obstreperous, adjective, ồn ào  
obtuse, adjective, chậm hiểu  
odious, adjective, ghê tởm  
officious, adjective, lăng xăng  
ominous, adjective, điềm báo  
onerous, adjective, nặng nề  
opaque, adjective, mờ đục  
opulent, adjective, giàu có  
oracle, noun, lời tiên tri  
orator, noun, diễn giả  
ornate, adjective, hoa mỹ  
oscillate, verb, dao động  
ostentatious, adjective, phô trương  
ostracize, verb, tẩy chay  
outlandish, adjective, kỳ quặc  
overwrought, adjective, xúc động mạnh  
oxymoron, noun, sự mâu thuẫn  
pacify, verb, làm dịu  
palatable, adjective, ngon miệng  
palliate, verb, làm dịu  
palpable, adjective, rõ ràng  
panacea, noun, thuốc chữa bách bệnh  
paradigm, noun, mô hình  
paragon, noun, mẫu mực  
paramount, adjective, tối cao  
pariah, noun, kẻ bị ruồng bỏ  
parody, noun, sự nhại  
parsimonious, adjective, keo kiệt  
partisan, noun, người ủng hộ  
patent, adjective, rõ ràng  
paternal, adjective, thuộc về cha  
pathetic, adjective, thảm hại  
patronize, verb, bảo trợ  
paucity, noun, sự thiếu thốn  
pejorative, adjective, có ý xúc phạm  
pellucid, adjective, trong suốt  
penchant, noun, sở thích  
penitent, adjective, hối lỗi  
penurious, adjective, nghèo túng  
perceptive, adjective, sâu sắc  
perennial, adjective, lâu năm  
perfidious, adjective, phản bội  
quaint, adjective, kỳ lạ  
quandary, noun, tình thế khó xử  
quell, verb, dập tắt  
querulous, adjective, cằn nhằn  
quiescent, adjective, yên lặng  
quintessential, adjective, tinh hoa  
quip, noun, lời nói đùa  
quixotic, adjective, không thực tế  
quizzical, adjective, nghi vấn  
quibble, noun, lời phản đối nhỏ  
quagmire, noun, tình thế khó khăn  
quarantine, noun, cách ly  
quash, verb, dập tắt  
querulous, adjective, hay càu nhàu  
quintessence, noun, tinh chất  
quibble, verb, nói lý sự  
quiescent, adjective, yên tĩnh  
quixotic, adjective, viễn vông  
quota, noun, chỉ tiêu  
quaint, adjective, kỳ lạ  
quorum, noun, số đại biểu tối thiểu  
quarantine, noun, sự cách ly  
quell, verb, đàn áp  
quizzical, adjective, thắc mắc  
quintessential, adjective, tinh hoa
raconteur, noun, người kể chuyện  
rampant, adjective, tràn lan  
ramshackle, adjective, xiêu vẹo  
rancor, noun, sự thù oán  
rapacious, adjective, tham lam  
rapport, noun, mối quan hệ tốt  
rash, adjective, hấp tấp  
raze, verb, san bằng  
rebuff, verb, từ chối thẳng thừng  
rebuke, verb, khiển trách  
recalcitrant, adjective, ngoan cố  
recant, verb, rút lui  
recluse, noun, người sống ẩn dật  
recondite, adjective, khó hiểu  
recruit, verb, tuyển dụng  
rectify, verb, sửa chữa  
redundant, adjective, dư thừa  
refute, verb, bác bỏ  
regale, verb, chiêu đãi  
relegate, verb, giáng chức  
relinquish, verb, từ bỏ  
remedial, adjective, khắc phục  
remiss, adjective, cẩu thả  
remorse, noun, sự hối hận  
renegade, noun, kẻ phản bội  
sagacious, adjective, thông minh
salient, adjective, nổi bật  
salubrious, adjective, lành mạnh  
sanctimonious, adjective, đạo đức giả  
sanguine, adjective, lạc quan  
sardonic, adjective, mỉa mai  
satiate, verb, làm thoả mãn  
scathing, adjective, nghiêm khắc  
scintillating, adjective, sáng chói  
scrupulous, adjective, cẩn thận  
scrutinize, verb, xem xét kỹ lưỡng  
secluded, adjective, hẻo lánh  
sedate, adjective, bình thản  
sedition, noun, sự xúi giục nổi loạn  
sequester, verb, cô lập  
serendipity, noun, sự may mắn  
servile, adjective, nô lệ  
shirk, verb, trốn tránh  
shrewd, adjective, khôn ngoan  
slander, verb, vu khống  
sluggish, adjective, chậm chạp  
solicitous, adjective, quan tâm  
solitude, noun, cô đơn  
somber, adjective, u ám  
spurious, adjective, giả mạo  
tacit, adjective, ngầm hiểu  
taciturn, adjective, ít nói  
tangible, adjective, hữu hình  
tantamount, adjective, tương đương  
tedious, adjective, buồn chán  
temerity, noun, sự táo bạo  
temper, verb, làm dịu đi  
temperate, adjective, ôn hòa  
tenacious, adjective, kiên trì  
tenet, noun, giáo lý  
tentative, adjective, tạm thời  
tepid, adjective, nhạt nhẽo  
terse, adjective, ngắn gọn  
thwart, verb, cản trở  
timid, adjective, rụt rè  
tirade, noun, tràng đả kích  
torpid, adjective, uể oải  
tortuous, adjective, quanh co  
tractable, adjective, dễ bảo  
transient, adjective, tạm thời  
trenchant, adjective, sắc bén  
trite, adjective, nhàm chán  
truculent, adjective, hung hăng  
turbulent, adjective, hỗn loạn  
turgid, adjective, cồng kềnh  
ubiquitous, adjective, có mặt khắp nơi  
ulterior, adjective, bí ẩn  
ultimate, adjective, tối hậu  
umbrage, noun, sự phật ý  
unabashed, adjective, không xấu hổ  
unanimous, adjective, đồng lòng  
unassailable, adjective, không thể bác bỏ  
unconscionable, adjective, vô lương tâm  
undermine, verb, làm suy yếu  
unequivocal, adjective, rõ ràng  
ungainly, adjective, vụng về  
unilateral, adjective, đơn phương  
unobtrusive, adjective, khiêm tốn  
unprecedented, adjective, chưa từng có  
unseemly, adjective, không thích hợp  
unsightly, adjective, khó coi  
untenable, adjective, không thể duy trì  
untimely, adjective, không đúng lúc  
upbraid, verb, trách mắng  
urbane, adjective, lịch sự  
usurp, verb, chiếm đoạt  
utilitarian, adjective, thực dụng  
utopian, adjective, không tưởng  
utter, verb, phát biểu  
unwavering, adjective, kiên định
