headword, pos, vietnamese
quench, verb, làm dịu  
quadrant, noun, góc phần tư  
quadruple, adjective, gấp bốn lần  
query, noun, câu hỏi  
quarantine, noun, cách ly  
quartz, noun, thạch anh  
quench, verb, thỏa mãn (khát)  
quintessence, noun, tinh hoa  
race, noun, cuộc đua  
radiate, verb, tỏa ra  
raise, verb, nâng lên  
range, noun, phạm vi  
rapid, adjective, nhanh  
rare, adjective, hiếm  
rate, noun, tỷ lệ  
reach, verb, đạt được  
react, verb, phản ứng  
read, verb, đọc  
ready, adjective, sẵn sàng  
realize, verb, nhận ra  
reason, noun, lý do  
rebel, noun, nổi loạn  
recall, verb, nhớ lại  
receive, verb, nhận  
recent, adjective, gần đây  
recognize, verb, nhận biết  
record, noun, hồ sơ  
reduce, verb, giảm  
refer, verb, tham khảo  
reflect, verb, phản ánh  
refuse, verb, từ chối  
region, noun, khu vực  
regular, adjective, đều đặn  
safe, adjective, an toàn  
satisfy, verb, làm hài lòng  
save, verb, tiết kiệm  
scale, noun, quy mô  
scene, noun, cảnh  
schedule, noun, lịch trình  
school, noun, trường học  
science, noun, khoa học  
score, noun, điểm số  
search, verb, tìm kiếm  
season, noun, mùa  
secure, adjective, bảo mật  
seek, verb, tìm kiếm  
seem, verb, dường như  
select, verb, chọn lựa  
self, noun, bản thân  
sense, noun, giác quan  
sentence, noun, câu  
serve, verb, phục vụ  
settle, verb, giải quyết  
several, adjective, một vài  
severe, adjective, nghiêm trọng  
shape, noun, hình dạng  
share, verb, chia sẻ  
sharp, adjective, sắc bén  
table, noun, bàn  
take, verb, lấy  
talk, verb, nói chuyện  
tall, adjective, cao  
task, noun, nhiệm vụ  
taste, noun, hương vị  
teach, verb, dạy  
team, noun, đội  
tear, verb, xé rách  
tend, verb, có khuynh hướng  
term, noun, điều khoản  
test, noun, bài kiểm tra  
thank, verb, cảm ơn  
theory, noun, lý thuyết  
thing, noun, vật  
think, verb, nghĩ  
threat, noun, mối đe dọa  
throw, verb, ném  
tight, adjective, chặt  
time, noun, thời gian  
tiny, adjective, nhỏ bé  
tired, adjective, mệt mỏi  
tool, noun, công cụ  
top, noun, đỉnh  
touch, verb, chạm  
ultimate, adjective, tối thượng  
unable, adjective, không có khả năng  
uncertain, adjective, không chắc chắn  
uncle, noun, chú/bác  
understand, verb, hiểu  
uniform, noun, đồng phục  
unique, adjective, độc đáo  
unit, noun, đơn vị  
unite, verb, đoàn kết  
universe, noun, vũ trụ  
unknown, adjective, không biết  
unless, conjunction, trừ khi  
unlike, adjective, không giống  
until, preposition, cho đến khi  
unusual, adjective, khác thường  
uphold, verb, ủng hộ  
upon, preposition, trên  
urban, adjective, đô thị  
urge, verb, thúc giục  
use, verb, sử dụng  
usual, adjective, thông thường  
utilize, verb, sử dụng  
utter, verb, phát biểu  
ultimate, adjective, cuối cùng  
uncertain, adjective, không chắc chắn  
